what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1300823475065
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1300823475066
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1300823475068
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1300823475070
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1300823475074
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1300823475075
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1300823475077
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1300823475082
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1300823475084
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1300823475086
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1300823475089
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1300823475092
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1300823475093
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1300823475093
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1300823475095
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1300823475097
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1300823475099
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1300823475100
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1300823475102
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1300823475104
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1300823475105
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1300823475107
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300823475108
os,sysinfo,,,"macosx",1300823475114
arch,sysinfo,,,"x86_64",1300823475114
ws,sysinfo,,,"cocoa",1300823475114
locale,sysinfo,,,"de_DE",1300823475114
processors,sysinfo,,,"2",1300823475114
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300823475114
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1300823475114
java.specification.name,sysinfo,,,"Java Platform API Specification",1300823475114
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300823475114
java.specification.version,sysinfo,,,"1.6",1300823475114
java.vendor,sysinfo,,,"Apple Inc.",1300823475114
java.version,sysinfo,,,"1.6.0_24",1300823475114
java.vm.info,sysinfo,,,"mixed mode",1300823475114
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1300823475114
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300823475114
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300823475114
java.vm.specification.version,sysinfo,,,"1.0",1300823475114
java.vm.vendor,sysinfo,,,"Apple Inc.",1300823475114
java.vm.version,sysinfo,,,"19.1-b02-334",1300823475114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823566856
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300823566872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823573092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823576640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823591615
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1300823595308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823603601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823616702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823619644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823631371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823635052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823638034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823720264
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300823780854
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300823803652
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1300823894925
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1300823895171
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300823895651
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1300823895807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823902675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300823904576
